№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
1289;Ломбард;33806889;"ПОВНЕ ТОВАРИСТВО ""МК ЛОМБАРД ШПЕНЮК, ШAЛАЄВA""";49022 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, вул. МАРШАЛА МАЛИНОВСЬКОГО, буд.110А;Глушко Ольга Іванівна;14.03.2006
1290;Страхова компанія;33908322;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СТРАХОВА КОМПАНІЯ ""АРСЕНАЛ СТРАХУВАННЯ""";03056 КИЇВ, КИЇВ 56, Борщагівська, буд.154;Авдєєв Сергій Олександрович;10.03.2006
1291;Ломбард;33714861;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ЛЕБЕДЬ І КОМПАНІЯ""";36039 ПОЛТАВСЬКА ОБЛАСТЬ, ПОЛТАВА, МІСТО ПОЛТАВА, Шевченко, буд.39;Кива   Валерій Анатолійович;07.03.2006
1292;Ломбард;33348191;"Повне товариство ""Ломбард Альянс"" ТОВ ""СІТІ ВІДЖЕН"" і компанія";04071 КИЇВ, КИЇВ 71, провулок Ярославський, буд.7/9, оф.(кв.)3;Восканян Михайло Вігенович;28.02.2006
1293;Страхова компанія;31599887;"Товариство з додатковою  відповідальністю “Страхова Компанія  ""НАДІЯ”";03062 КИЇВ, КИЇВ 62, проспект Перемоги, буд.67;Твердохліб Сергій Петрович;21.02.2006
1294;Недержавний пенсійний фонд;33629394;"Непідприємницьке товариство ""Недержавний корпоративний пенсійний фонд ВАТ ""Укрексімбанк""";03150 КИЇВ, КИЇВ 150, Горького, буд.127;Ромашко Людмила Іллівна;16.02.2006
1295;Кредитна спілка;33800206;"КРЕДИТНА СПІЛКА ""ГАРАНТІЯ-КРЕДИТ""";14000 ЧЕРНІГІВСЬКА ОБЛАСТЬ, ЧЕРНІГІВ, МІСТО ЧЕРНІГІВ, ШЕВЧЕНКА, буд.5;Мороз Віра Миколаївна;14.02.2006
1296;Недержавний пенсійний фонд;33612532;"Непідприємницьке товариство ""Гірничо-металургійний професійний пенсійний фонд""";49000 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Фучика, буд.30, оф.(кв.)109;Капалін    Володимир Тарасович;25.01.2006
1297;Страхова компанія;33948564;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РЕНЕСАНС ЖИТТЯ""";01135 КИЇВ, КИЇВ 135, Дмитрівська, буд.69;Богдан Олександр Євгенович;24.01.2006
1298;Фінансова компанія;33569524;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""ТАЛІНОФФ""";65044 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Пироговська, буд.3-А;Касьяненко Руслан Володимирович;24.01.2006
1299;Ломбард;32366115;"Повне товариство ломбард ""Аркадія"", Башоян і К";51200 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, НОВОМОСКОВСЬКИЙ РАЙОН НОВОМОСКОВСЬК, Радянська , буд.134;Башоян Арміне Арсенівна;24.01.2006
1300;Страхова компанія;33946038;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СТРАХОВА КОМПАНІЯ ""АРСЕНАЛ""";65009 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, Фонтанська дорога , буд.25;Ланська Олена Володимирівна;19.01.2006
1301;Страхова компанія;33833231;"Приватне акціонерне товариство ""Страхова компанія ""Укргазпромполіс-Життя""";01034 КИЇВ, КИЇВ 34, Олеся Гончара, буд.41, корп.літера А;Сухина Ігор Іванович;19.01.2006
1302;Недержавний пенсійний фонд;33617734;"Неприбуткова організація ""Відкритий пенсійний фонд ""Соціальні гарантії""";79060 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, Наукова, буд.7а;Мирон  Галина  Богданівна;21.12.2005
1303;Страхова компанія;33940722;"Приватне Акціонерне Товариство ""Страхова компанія ""ФОРТЕ ЛАЙФ""";01054 КИЇВ, КИЇВ 54, Дмитрівська, буд.46, корп.А;Кулєшин Олександр Анатолійович;20.12.2005
1304;Страхова компанія;33783296;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СТРАХОВА КОМПАНІЯ ""КЛАСІК СТРАХУВАННЯ ЖИТТЯ""";04073 КИЇВ, КИЇВ 73, Сирецька, буд.5, корп.3;Прокоф’єв Олександр Юрійович;20.12.2005
1305;Страхова компанія;33831166;"Товариство з додатковою відповідальністю ""Страхова компанія ""Індіго""";01011 КИЇВ, КИЇВ 11, Немировича-Данченка, буд.1;Константінов Юрій Борисович;14.12.2005
1306;Страхова компанія;33836688;"Товариство з додатковою відповідальністю ""Страхова компанія ""Хортиця""";02002 КИЇВ, КИЇВ, Євгена Сверстюка, буд.19;Саюк  Юрій  Віталійович;06.12.2005
1307;Кредитна спілка;33838774;"Кредитна Спілка ""Донбас-кредит""";83086 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Артема, буд.27;Бабенко Максим Ігнатович;01.12.2005
1308;Страхова компанія;33832772;"Приватне акціонерне товариство ""Страхові гарантії України""";03115 КИЇВ, КИЇВ 115, Львівська , буд.22, корп.-, оф.(кв.)-;Яцько  Вячеслав  Васильович;01.12.2005
1309;Страхова компанія;33691153;"Приватне Акціонерне Товариство ""Страхова компанія ""Партнерc""";02002 КИЇВ, КИЇВ2, Раїси Окіпної, буд.4, корп.б, оф.(кв.)2;Зіньковська Анна Анатоліївна;01.12.2005
1310;Кредитна спілка;33762585;"Кредитна  спілка ""Разом до успіху""";21021 ВІННИЦЬКА ОБЛАСТЬ, ВІННИЦЯ, МІСТО ВІННИЦЯ, 600 річчя, буд.15;Рябовол  Ірина Валентинівна;25.11.2005
1311;Кредитна спілка;33738861;"Кредитна спілка ""Центр фінансових послуг""";02140 КИЇВ, КИЇВ 140, проспект Григоренка, буд.39-Б, оф.(кв.)2;Колонюк Володимир Васильович;25.11.2005
1312;Кредитна спілка;33435639;"Кредитна спілка "" Довіра КПП""";20500 ЧЕРКАСЬКА ОБЛАСТЬ, КАТЕРИНОПІЛЬСЬКИЙ РАЙОН КАТЕРИНОПІЛЬ, Соборна, буд.36;Прилуцький Віталій Степанович;25.11.2005
1313;Страхова компанія;33592726;"Товариство з додатковою відповідальністю ""Страхова Компанія ""Проксіма""";01004 КИЇВ, КИЇВ 4, Червоноармійська, буд.34;Іванько Владислав Миколайович;15.11.2005
1314;Страхова компанія;33743929;"Товариство з додатковою відповідальністю ""Страхова компанія ""МЕГАПОЛІС""";04655 КИЇВ, КИЇВ 655, Кудрявський узвіз, буд.7;Литвиненко Сергій Іванович;20.10.2005
1315;Ломбард;33601080;"Повне Товариство ""Ломбард ""Пектораль"" ТОВ ""Альянс-Перлина"" та Біленко""";03164 КИЇВ, КИЇВ 164, Булаховського академіка, буд.5 Б;Біленко  Віктор Андрійович;14.10.2005
1316;Недержавний пенсійний фонд;33602063;Непідприємницьке товариство «Недержавний професійний пенсійний фонд «Перший профспілковий»;04053 КИЇВ, КИЇВ 53, Артема, буд.21;Глушко Ольга Володимирівна;12.10.2005
1317;Страхова компанія;32559281;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СТРАХОВА КОМПАНІЯ ""ДЕФЕНСА""";04112 КИЇВ, КИЇВ 112, вулиця Шамрила, буд.15-А;Струтинська Валентина Леонідівна;30.09.2005
1318;Фінансова компанія;33663702;"Товариство з обмеженою відповідальністю ""Фінансова компанія -Лістинг""";29000 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ХМЕЛЬНИЦЬКИЙ, МІСТО ХМЕЛЬНИЦЬКИЙ, Подільська, буд.91/2;Рауш Тетяна Володимирівна,;23.09.2005
1319;Кредитна спілка;33665584;Українська об`єднана кредитна спілка;02660 КИЇВ, КИЇВ 660, Євгена Сверстюка, буд.23, корп.-, оф.(кв.)608;Жила Надія Михайлівна;13.09.2005
1320;Страхова компанія;33637321;"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СТРАХОВА КОМПАНІЯ ""ЗДОРОВО""";03680 КИЇВ, КИЇВ 680, Казимира Малевича, буд.86-Н;Дунаєвський Роман  Андрійович;30.08.2005
1321;Ломбард;33417207;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""КРУГЛИЙ ТА КОМПАНІЯ""";83117 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Жарикова, буд.15;Круглий Роман Віталійович;30.08.2005
1322;Ломбард;33593688;"Повне Товариство ""Ломбард -Данко"" за участю Даниленка Олександра Олексійовича, Даниленка Михайла Олексійовича";03118 КИЇВ, КИЇВ 118, Гвардійська, буд.87-А;Даниленко Вікторія Вікторівна;26.08.2005
1323;Ломбард;33523495;"Повне товариство ""Ломбард""Наливайко і Компанія""";51935 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, КАМ'ЯНСЬКЕ, МІСТО КАМ'ЯНСЬКЕ, Глаголєва, буд.25;Наливайко  Михайло  Олександрович ;26.08.2005
1324;Кредитна спілка;33540175;"Кредитна спілка ""Чернівці""";58020 ЧЕРНІВЕЦЬКА ОБЛАСТЬ, ЧЕРНІВЦІ, МІСТО ЧЕРНІВЦІ, Калинівська, буд.13-А;Бобик  Йосиф Богданович;16.08.2005
1325;Кредитна спілка;33199640;"Кредитна спілка ""Землевласник""";92700 ЛУГАНСЬКА ОБЛАСТЬ, СТАРОБІЛЬСЬКИЙ РАЙОН СТАРОБІЛЬСЬК, Базарна, буд.5;Шкуренко  Сергій Петрович;16.08.2005
1326;Недержавний пенсійний фонд;33098032;"Відкритий пенсійний фонд ""Ощадний""";03151 КИЇВ, КИЇВ 151, Ушинського, буд.40;Плічко Сергій Анатолійович;09.08.2005
1327;Фінансова компанія;31865319;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""НОВА ФІНАНСОВА КОМПАНІЯ""";04212 КИЇВ, КИЇВ 212, Маршала Малиновського, буд.12-А;Кадькаленко Андрій Сергійович;09.08.2005
1328;Ломбард;34478742;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ЗАСТАВНО-КРЕДИТНИЙ ДІМ"" ЗА УЧАСТЮ ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЮВСЕРВІС"", ТОВАРИСТВА З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТОРГІВЕЛЬНИЙ СВІТ ""ТС""";01133 КИЇВ, КИЇВ 133, вулиця Кутузова, буд.18/7;Гриневський Михайло Анатолійович;08.08.2005
1329;Недержавний пенсійний фонд;33404451;"Непідприємницьке товариство ""Недержавний професійний пенсійний фонд ""Хлібний""";04070 КИЇВ, КИЇВ 70, Верхній Вал, буд.72;Перепелицин  Сергій Олександрович;08.08.2005
1330;Страхова компанія;33552636;"Приватне акціонерне товариство ""Європейський Страховий Союз""";01030 КИЇВ, КИЇВ 30, Михайла Коцюбинського, буд.6;Ануфрієв Ігор Вячеславович;02.08.2005
1331;Кредитна спілка;33380455;"КРЕДИТНА СПІЛКА ""ДОВІРА-ІЧНЯ""";16703 ЧЕРНІГІВСЬКА ОБЛАСТЬ, ІЧНЯНСЬКИЙ РАЙОН ІЧНЯ, Трудова, буд.10;Шевченко  Станіслав Олександрович;02.08.2005
1332;Ломбард;20161136;"Повне товариство  ""Ломбард МАКСИМ (Бєгма і компанія)""";94415 ЛУГАНСЬКА ОБЛАСТЬ, КРАСНОДОНСЬКИЙ РАЙОН МОЛОДОГВАРДІЙСЬК, Кв.Кошевого, буд.5;Гукова Світлана  Станіславівна;20.07.2005
